Resume_ID,Name,Skills,Experience (Years),Education,Certifications,Job Role,Recruiter Decision,Salary Expectation ($),Projects Count,AI Score (0-100),Skills_list,Hire_binary,gender,ethnicity
160,Margaret Holmes,"Cybersecurity, Linux",2,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,118103,1,45,"['cybersecurity', 'linux']",0,female,unknown
161,Michael Le,"SQL, Machine Learning",3,PhD,Deep Learning Specialization,Data Scientist,Hire,112466,9,95,"['sql', 'machine learning']",1,male,Asian
162,Patricia Scott,"SQL, Machine Learning",5,M.Tech,AWS Certified,Data Scientist,Hire,99076,8,100,"['sql', 'machine learning']",1,female,unknown
163,Katie Wall,"Linux, Cybersecurity",5,M.Tech,None,Cybersecurity Analyst,Hire,115234,10,100,"['linux', 'cybersecurity']",1,female,unknown
164,Steven Johnson,"TensorFlow, NLP, Python",1,M.Tech,None,AI Researcher,Reject,76442,2,35,"['tensorflow', 'nlp', 'python']",0,male,unknown
165,Rhonda Green,"Networking, Cybersecurity, Linux, Ethical Hacking",7,M.Tech,Google ML,Cybersecurity Analyst,Hire,117704,10,100,"['networking', 'cybersecurity', 'linux', 'ethical hacking']",1,female,unknown
166,Christopher Fletcher,"Deep Learning, SQL",2,PhD,None,Data Scientist,Reject,89120,3,45,"['deep learning', 'sql']",0,male,unknown
167,Joel Hansen,"Pytorch, NLP, Python",3,M.Tech,AWS Certified,AI Researcher,Hire,76100,6,85,"['pytorch', 'nlp', 'python']",1,male,unknown
168,Katherine Cabrera,"Networking, Cybersecurity, Ethical Hacking",2,B.Sc,Google ML,Cybersecurity Analyst,Hire,63016,7,80,"['networking', 'cybersecurity', 'ethical hacking']",1,female,Hispanic
169,Shawn Schmidt,"Java, C++, React, SQL",9,B.Sc,Deep Learning Specialization,Software Engineer,Hire,68144,2,100,"['java', 'c++', 'react', 'sql']",1,male,unknown
170,Ruth Prince,"Python, Machine Learning",7,M.Tech,None,Data Scientist,Hire,98540,0,80,"['python', 'machine learning']",1,female,unknown
171,Scott Gray,"Networking, Ethical Hacking, Cybersecurity",8,MBA,None,Cybersecurity Analyst,Hire,44474,1,100,"['networking', 'ethical hacking', 'cybersecurity']",1,male,unknown
172,Lisa Lawson,"Deep Learning, SQL, Python",3,B.Sc,AWS Certified,Data Scientist,Hire,50781,6,85,"['deep learning', 'sql', 'python']",1,female,unknown
173,Brenda Crawford,"React, SQL, C++",3,B.Tech,Google ML,Software Engineer,Hire,100722,5,80,"['react', 'sql', 'c++']",1,female,unknown
174,Phillip Shaw,"SQL, Python",9,PhD,Deep Learning Specialization,Data Scientist,Hire,69101,8,100,"['sql', 'python']",1,male,unknown
175,Lisa Jones,"Machine Learning, Deep Learning, Python, SQL",6,MBA,None,Data Scientist,Hire,76085,4,100,"['machine learning', 'deep learning', 'python', 'sql']",1,female,unknown
176,Dillon Hoffman,"SQL, Machine Learning, Python, Deep Learning",9,B.Sc,Google ML,Data Scientist,Hire,57223,2,100,"['sql', 'machine learning', 'python', 'deep learning']",1,male,unknown
177,Eric Mendez,"C++, React",1,MBA,None,Software Engineer,Reject,55836,3,35,"['c++', 'react']",0,male,Hispanic
178,Terry Kaufman,"SQL, Deep Learning, Python, Machine Learning",8,B.Sc,Google ML,Data Scientist,Hire,118651,5,100,"['sql', 'deep learning', 'python', 'machine learning']",1,unknown,unknown
179,Andrea Clark,"Pytorch, TensorFlow",3,MBA,None,AI Researcher,Hire,81415,7,75,"['pytorch', 'tensorflow']",1,female,unknown
180,Erin Maynard,"Networking, Cybersecurity, Ethical Hacking",8,MBA,None,Cybersecurity Analyst,Hire,65748,4,100,"['networking', 'cybersecurity', 'ethical hacking']",1,female,unknown
181,Jared Gonzalez,"Java, React",6,PhD,Deep Learning Specialization,Software Engineer,Hire,54170,7,100,"['java', 'react']",1,male,Hispanic
182,Stephen Nichols,"Machine Learning, Deep Learning, SQL, Python",1,PhD,None,Data Scientist,Hire,60495,7,65,"['machine learning', 'deep learning', 'sql', 'python']",1,male,unknown
183,Caleb Tucker,"Pytorch, NLP",0,B.Sc,None,AI Researcher,Reject,42924,7,45,"['pytorch', 'nlp']",0,male,unknown
184,Caitlin Turner,"SQL, Deep Learning, Python",5,PhD,None,Data Scientist,Hire,89654,3,80,"['sql', 'deep learning', 'python']",1,female,unknown
185,Justin Myers Jr.,"React, Java, C++, SQL",7,M.Tech,Deep Learning Specialization,Software Engineer,Hire,89830,3,100,"['react', 'java', 'c++', 'sql']",1,male,unknown
186,Anthony Benson,"Java, C++, React, SQL",5,MBA,Deep Learning Specialization,Software Engineer,Hire,64162,7,100,"['java', 'c++', 'react', 'sql']",1,male,unknown
187,Valerie Morrison,"Pytorch, Python",0,B.Sc,Deep Learning Specialization,AI Researcher,Reject,44226,7,55,"['pytorch', 'python']",0,female,unknown
188,Mary Wilson,"NLP, TensorFlow, Python",0,MBA,Deep Learning Specialization,AI Researcher,Reject,65417,3,40,"['nlp', 'tensorflow', 'python']",0,female,unknown
189,Evelyn Porter,"SQL, Python, Machine Learning, Deep Learning",3,M.Tech,Google ML,Data Scientist,Hire,65930,5,85,"['sql', 'python', 'machine learning', 'deep learning']",1,female,unknown
190,Scott Salinas,"React, SQL, Java, C++",1,PhD,AWS Certified,Software Engineer,Hire,58162,5,65,"['react', 'sql', 'java', 'c++']",1,male,Hispanic
191,Rachel Bridges,"Linux, Cybersecurity, Ethical Hacking",8,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Hire,59707,8,100,"['linux', 'cybersecurity', 'ethical hacking']",1,female,unknown
192,Lori Porter,"Linux, Ethical Hacking",1,PhD,AWS Certified,Cybersecurity Analyst,Reject,60465,3,45,"['linux', 'ethical hacking']",0,female,unknown
193,Keith Ayers,"TensorFlow, NLP, Python",3,MBA,Deep Learning Specialization,AI Researcher,Hire,80393,10,100,"['tensorflow', 'nlp', 'python']",1,male,unknown
194,Nicholas Welch,"Machine Learning, SQL, Python",10,PhD,None,Data Scientist,Hire,95170,6,100,"['machine learning', 'sql', 'python']",1,male,unknown
195,Jason Carter,"Pytorch, Python, TensorFlow, NLP",9,B.Sc,AWS Certified,AI Researcher,Hire,114772,5,100,"['pytorch', 'python', 'tensorflow', 'nlp']",1,male,unknown
196,Kimberly Anderson,"Pytorch, Python",7,B.Tech,None,AI Researcher,Hire,42236,6,100,"['pytorch', 'python']",1,female,unknown
197,John Mendoza,"Python, Deep Learning",8,PhD,None,Data Scientist,Hire,69641,10,100,"['python', 'deep learning']",1,male,Hispanic
198,Audrey Haynes,"C++, SQL, Java",1,PhD,Deep Learning Specialization,Software Engineer,Hire,68682,7,70,"['c++', 'sql', 'java']",1,female,unknown
199,Zachary Harris,"Ethical Hacking, Cybersecurity, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Reject,113725,0,55,"['ethical hacking', 'cybersecurity', 'linux']",0,male,unknown
200,Ann Silva,"Python, TensorFlow",1,B.Sc,Deep Learning Specialization,AI Researcher,Reject,89941,4,50,"['python', 'tensorflow']",0,female,unknown
201,Ashley Elliott,"Cybersecurity, Ethical Hacking, Linux, Networking",8,MBA,Google ML,Cybersecurity Analyst,Hire,102247,8,100,"['cybersecurity', 'ethical hacking', 'linux', 'networking']",1,female,unknown
202,Thomas Hill,"TensorFlow, NLP",6,PhD,Google ML,AI Researcher,Hire,87988,1,85,"['tensorflow', 'nlp']",1,male,unknown
203,Danny Torres,"Ethical Hacking, Cybersecurity, Networking",8,B.Tech,None,Cybersecurity Analyst,Hire,66329,0,95,"['ethical hacking', 'cybersecurity', 'networking']",1,male,Hispanic
204,Tiffany Koch,"NLP, Python, TensorFlow",1,PhD,Deep Learning Specialization,AI Researcher,Hire,42249,7,70,"['nlp', 'python', 'tensorflow']",1,female,unknown
205,Rachael Williams,"Java, C++",9,MBA,Google ML,Software Engineer,Hire,82341,3,100,"['java', 'c++']",1,female,unknown
206,Timothy Caldwell,"NLP, Pytorch, Python, TensorFlow",10,B.Sc,None,AI Researcher,Hire,43594,4,100,"['nlp', 'pytorch', 'python', 'tensorflow']",1,male,unknown
207,Jenny Weaver,"Ethical Hacking, Linux, Cybersecurity, Networking",7,MBA,None,Cybersecurity Analyst,Hire,116460,10,100,"['ethical hacking', 'linux', 'cybersecurity', 'networking']",1,female,unknown
208,Shawn Carson,"C++, React",2,B.Sc,AWS Certified,Software Engineer,Hire,96027,5,65,"['c++', 'react']",1,male,unknown
209,Derrick Mendoza,"Cybersecurity, Ethical Hacking, Networking, Linux",1,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,102390,6,70,"['cybersecurity', 'ethical hacking', 'networking', 'linux']",1,male,Hispanic
210,Thomas Thompson,"Python, NLP, TensorFlow",2,M.Tech,Google ML,AI Researcher,Hire,90388,4,65,"['python', 'nlp', 'tensorflow']",1,male,unknown
211,Cindy Crosby,"Machine Learning, Python, Deep Learning",3,B.Tech,AWS Certified,Data Scientist,Hire,99842,4,75,"['machine learning', 'python', 'deep learning']",1,female,unknown
212,Denise Davenport,"Networking, Linux, Ethical Hacking",7,B.Tech,Google ML,Cybersecurity Analyst,Hire,96689,3,100,"['networking', 'linux', 'ethical hacking']",1,female,unknown
213,Wyatt Anderson,"C++, SQL",2,MBA,Google ML,Software Engineer,Reject,94346,1,45,"['c++', 'sql']",0,male,unknown
214,Peter Patterson,"SQL, Java",1,B.Tech,Google ML,Software Engineer,Hire,45989,7,65,"['sql', 'java']",1,male,unknown
215,Nicholas Brown,"TensorFlow, Python, NLP",3,B.Tech,None,AI Researcher,Reject,41769,3,60,"['tensorflow', 'python', 'nlp']",0,male,unknown
216,Gloria Miller,"Linux, Ethical Hacking, Cybersecurity, Networking",8,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,45438,3,100,"['linux', 'ethical hacking', 'cybersecurity', 'networking']",1,female,unknown
217,Tammy Phillips,"SQL, Deep Learning, Python, Machine Learning",7,B.Sc,None,Data Scientist,Hire,82958,10,100,"['sql', 'deep learning', 'python', 'machine learning']",1,female,unknown
218,William Murphy,"TensorFlow, Python, NLP, Pytorch",8,MBA,AWS Certified,AI Researcher,Hire,70446,8,100,"['tensorflow', 'python', 'nlp', 'pytorch']",1,male,unknown
219,John James,"Linux, Networking, Cybersecurity, Ethical Hacking",1,B.Sc,None,Cybersecurity Analyst,Hire,40222,10,80,"['linux', 'networking', 'cybersecurity', 'ethical hacking']",1,male,unknown
220,Christina Sanchez,"Pytorch, TensorFlow, Python, NLP",10,PhD,Google ML,AI Researcher,Hire,99512,2,100,"['pytorch', 'tensorflow', 'python', 'nlp']",1,female,Hispanic
221,Keith Ward,"Cybersecurity, Linux",9,PhD,None,Cybersecurity Analyst,Hire,77138,0,100,"['cybersecurity', 'linux']",1,male,unknown
222,Mark Skinner,"Python, NLP",1,M.Tech,Google ML,AI Researcher,Reject,98317,1,35,"['python', 'nlp']",0,male,unknown
223,James Myers,"Python, TensorFlow, Pytorch, NLP",6,B.Sc,None,AI Researcher,Hire,78872,4,100,"['python', 'tensorflow', 'pytorch', 'nlp']",1,male,unknown
224,Jon Poole,"Java, SQL",8,M.Tech,Deep Learning Specialization,Software Engineer,Hire,96786,4,100,"['java', 'sql']",1,male,unknown
225,John Weiss,"Linux, Ethical Hacking, Cybersecurity",4,PhD,AWS Certified,Cybersecurity Analyst,Hire,96836,1,70,"['linux', 'ethical hacking', 'cybersecurity']",1,male,unknown
226,Sean Livingston,"Cybersecurity, Networking",1,B.Tech,Google ML,Cybersecurity Analyst,Reject,94563,6,60,"['cybersecurity', 'networking']",0,male,unknown
227,Jacob Long,"Python, Deep Learning, Machine Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Hire,106472,4,65,"['python', 'deep learning', 'machine learning']",1,male,unknown
228,Sarah Christensen,"Linux, Networking, Ethical Hacking",7,B.Sc,None,Cybersecurity Analyst,Hire,79874,6,100,"['linux', 'networking', 'ethical hacking']",1,female,unknown
229,Scott Young,"Python, Pytorch",3,PhD,Deep Learning Specialization,AI Researcher,Hire,43097,8,90,"['python', 'pytorch']",1,male,unknown
230,Christopher Dominguez,"Cybersecurity, Networking, Ethical Hacking",2,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,102929,10,95,"['cybersecurity', 'networking', 'ethical hacking']",1,male,Hispanic
231,Thomas Curtis,"Python, NLP, Pytorch",1,MBA,Google ML,AI Researcher,Reject,113921,1,40,"['python', 'nlp', 'pytorch']",0,male,unknown
232,Anita Vega,"React, C++, Java, SQL",0,M.Tech,AWS Certified,Software Engineer,Hire,80517,8,70,"['react', 'c++', 'java', 'sql']",1,female,Hispanic
233,Jennifer Lane,"Deep Learning, Python",3,MBA,AWS Certified,Data Scientist,Hire,110523,4,70,"['deep learning', 'python']",1,female,unknown
234,Tonya Ellison,"SQL, Java, C++, React",9,M.Tech,None,Software Engineer,Hire,76224,5,100,"['sql', 'java', 'c++', 'react']",1,female,unknown
235,Robert Guerrero,"Cybersecurity, Linux, Networking",0,MBA,Deep Learning Specialization,Cybersecurity Analyst,Reject,49774,7,60,"['cybersecurity', 'linux', 'networking']",0,male,Hispanic
236,Elizabeth Graham,"React, SQL",7,B.Tech,AWS Certified,Software Engineer,Hire,75572,0,90,"['react', 'sql']",1,female,unknown
237,Nancy Brown,"Ethical Hacking, Linux, Cybersecurity, Networking",1,B.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,80647,8,80,"['ethical hacking', 'linux', 'cybersecurity', 'networking']",1,female,unknown
238,April Lewis,"Python, Deep Learning",5,B.Tech,None,Data Scientist,Hire,67218,3,75,"['python', 'deep learning']",1,female,unknown
239,Tiffany Austin,"Python, TensorFlow, NLP, Pytorch",8,PhD,AWS Certified,AI Researcher,Hire,104942,5,100,"['python', 'tensorflow', 'nlp', 'pytorch']",1,female,unknown
240,Sheila Gonzalez,"Deep Learning, SQL",1,M.Tech,Google ML,Data Scientist,Reject,64383,4,50,"['deep learning', 'sql']",0,female,Hispanic
241,Barbara Bernard,"Linux, Ethical Hacking",10,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,50784,0,100,"['linux', 'ethical hacking']",1,female,unknown
242,Mario Savage,"Deep Learning, Machine Learning, Python, SQL",5,B.Tech,AWS Certified,Data Scientist,Hire,78601,7,100,"['deep learning', 'machine learning', 'python', 'sql']",1,male,unknown
243,Katherine Chase,"C++, SQL, React",8,B.Tech,Google ML,Software Engineer,Hire,99288,4,100,"['c++', 'sql', 'react']",1,female,unknown
244,Rodney Diaz,"Linux, Networking",0,B.Tech,AWS Certified,Cybersecurity Analyst,Reject,64620,6,50,"['linux', 'networking']",0,male,Hispanic
245,Michael Phelps,"NLP, Pytorch",2,B.Sc,Deep Learning Specialization,AI Researcher,Hire,113947,8,80,"['nlp', 'pytorch']",1,male,unknown
246,Christine Reyes,"Deep Learning, Python, SQL",2,B.Sc,Deep Learning Specialization,Data Scientist,Hire,119054,8,85,"['deep learning', 'python', 'sql']",1,female,Hispanic
247,Daniel Alvarado,"Cybersecurity, Ethical Hacking, Linux",7,MBA,AWS Certified,Cybersecurity Analyst,Hire,63157,4,100,"['cybersecurity', 'ethical hacking', 'linux']",1,male,Hispanic
248,Ashley Moore,"Deep Learning, Machine Learning, SQL",5,B.Sc,Google ML,Data Scientist,Hire,41593,4,95,"['deep learning', 'machine learning', 'sql']",1,female,unknown
249,Caitlin Shaw,"SQL, Java, React, C++",4,MBA,Deep Learning Specialization,Software Engineer,Hire,101488,5,95,"['sql', 'java', 'react', 'c++']",1,female,unknown
250,James Gibson,"React, Java",2,MBA,AWS Certified,Software Engineer,Hire,113130,8,80,"['react', 'java']",1,male,unknown
251,Timothy Smith,"Python, NLP, TensorFlow, Pytorch",9,B.Tech,AWS Certified,AI Researcher,Hire,95912,10,100,"['python', 'nlp', 'tensorflow', 'pytorch']",1,male,unknown
252,Erin Maynard,"Pytorch, NLP, TensorFlow, Python",7,M.Tech,AWS Certified,AI Researcher,Hire,51478,9,100,"['pytorch', 'nlp', 'tensorflow', 'python']",1,female,unknown
253,Sherry Mcgrath,"TensorFlow, Python, Pytorch",8,PhD,None,AI Researcher,Hire,75976,1,100,"['tensorflow', 'python', 'pytorch']",1,female,unknown
254,Juan Velez,"SQL, Machine Learning",2,B.Tech,None,Data Scientist,Reject,116999,2,40,"['sql', 'machine learning']",0,male,Hispanic/Latino
255,Sara Collins,"React, C++, SQL, Java",7,MBA,Deep Learning Specialization,Software Engineer,Hire,90437,5,100,"['react', 'c++', 'sql', 'java']",1,female,unknown
256,Kathleen Foster,"NLP, Pytorch, TensorFlow",6,B.Tech,Deep Learning Specialization,AI Researcher,Hire,72164,4,100,"['nlp', 'pytorch', 'tensorflow']",1,female,unknown
257,Paul Williams,"Java, C++, React",9,M.Tech,None,Software Engineer,Hire,54990,1,100,"['java', 'c++', 'react']",1,male,unknown
258,Jasmine Cole,"Cybersecurity, Linux",8,B.Sc,Google ML,Cybersecurity Analyst,Hire,90950,10,100,"['cybersecurity', 'linux']",1,female,unknown
259,Bryan Wright,"SQL, Machine Learning, Deep Learning",0,B.Tech,Deep Learning Specialization,Data Scientist,Reject,113435,2,35,"['sql', 'machine learning', 'deep learning']",0,male,unknown
260,Dr. Samantha Hill MD,"TensorFlow, Pytorch, Python",8,B.Tech,AWS Certified,AI Researcher,Hire,78090,6,100,"['tensorflow', 'pytorch', 'python']",1,female,unknown
261,Steven Hull,"Python, Pytorch",7,B.Sc,Google ML,AI Researcher,Hire,71756,2,100,"['python', 'pytorch']",1,male,unknown
262,Eduardo Wilson,"Ethical Hacking, Linux, Networking",1,PhD,AWS Certified,Cybersecurity Analyst,Hire,59652,10,85,"['ethical hacking', 'linux', 'networking']",1,male,Hispanic/Latino
263,Bryan Scott,"TensorFlow, NLP",10,B.Sc,AWS Certified,AI Researcher,Hire,86663,2,100,"['tensorflow', 'nlp']",1,male,unknown
264,Jessica Burnett,"Python, TensorFlow",0,M.Tech,AWS Certified,AI Researcher,Reject,77225,1,25,"['python', 'tensorflow']",0,female,unknown
265,Kim Brown,"NLP, Python, Pytorch",1,MBA,AWS Certified,AI Researcher,Reject,97459,0,35,"['nlp', 'python', 'pytorch']",0,female,unknown
266,Maria Green MD,"NLP, TensorFlow",7,MBA,Google ML,AI Researcher,Hire,99118,1,95,"['nlp', 'tensorflow']",1,female,Hispanic/Latino
267,Gregory Rogers,"Networking, Ethical Hacking",0,M.Tech,AWS Certified,Cybersecurity Analyst,Reject,74792,5,45,"['networking', 'ethical hacking']",0,male,unknown
268,Nathaniel Yoder,"SQL, React",10,B.Tech,Deep Learning Specialization,Software Engineer,Hire,89543,5,100,"['sql', 'react']",1,male,unknown
269,Paul Lozano,"SQL, Machine Learning, Deep Learning, Python",8,M.Tech,Google ML,Data Scientist,Hire,109019,8,100,"['sql', 'machine learning', 'deep learning', 'python']",1,male,Hispanic/Latino
270,Jerry Allen,"Cybersecurity, Linux, Networking, Ethical Hacking",9,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,94447,4,100,"['cybersecurity', 'linux', 'networking', 'ethical hacking']",1,male,unknown
271,Amy Poole,"Machine Learning, SQL, Python",0,PhD,Google ML,Data Scientist,Reject,43642,7,60,"['machine learning', 'sql', 'python']",0,female,unknown
272,Laura Garcia,"Ethical Hacking, Cybersecurity",0,B.Sc,None,Cybersecurity Analyst,Reject,47079,8,50,"['ethical hacking', 'cybersecurity']",0,female,Hispanic/Latino
273,Cassandra Ford,"Linux, Cybersecurity",2,PhD,AWS Certified,Cybersecurity Analyst,Reject,48427,1,45,"['linux', 'cybersecurity']",0,female,unknown
274,Ricky Morris,"NLP, Pytorch, Python",8,MBA,None,AI Researcher,Hire,75898,3,100,"['nlp', 'pytorch', 'python']",1,male,unknown
275,Jon Hall,"Networking, Linux",3,M.Tech,Deep Learning Specialization,Cybersecurity Analyst,Hire,102962,7,85,"['networking', 'linux']",1,male,unknown
276,Amber Brown,"NLP, TensorFlow",7,PhD,Deep Learning Specialization,AI Researcher,Hire,48195,0,90,"['nlp', 'tensorflow']",1,female,unknown
277,Dr. Antonio Martinez,"Deep Learning, Machine Learning, Python",3,MBA,AWS Certified,Data Scientist,Reject,71310,1,60,"['deep learning', 'machine learning', 'python']",0,male,Hispanic/Latino
278,Dwayne Taylor,"React, C++, SQL, Java",4,B.Tech,Deep Learning Specialization,Software Engineer,Hire,90345,7,100,"['react', 'c++', 'sql', 'java']",1,male,unknown
279,Trevor Freeman,"Cybersecurity, Networking, Ethical Hacking",6,M.Tech,AWS Certified,Cybersecurity Analyst,Hire,53165,8,100,"['cybersecurity', 'networking', 'ethical hacking']",1,male,unknown
280,Kristen Santana,"Deep Learning, Machine Learning",0,PhD,Google ML,Data Scientist,Reject,73914,1,25,"['deep learning', 'machine learning']",0,female,unknown
281,Rachael Hayes,"C++, SQL, React",10,M.Tech,Deep Learning Specialization,Software Engineer,Hire,48829,5,100,"['c++', 'sql', 'react']",1,female,unknown
282,Gary Gonzalez,"Python, TensorFlow, Pytorch, NLP",9,MBA,Google ML,AI Researcher,Hire,99238,1,100,"['python', 'tensorflow', 'pytorch', 'nlp']",1,male,Hispanic/Latino
283,Mrs. Ashley Stanley,"Pytorch, Python, NLP, TensorFlow",0,M.Tech,Deep Learning Specialization,AI Researcher,Hire,67037,9,75,"['pytorch', 'python', 'nlp', 'tensorflow']",1,female,unknown
284,Sonia Mendoza,"Python, TensorFlow",3,B.Sc,None,AI Researcher,Reject,82959,3,55,"['python', 'tensorflow']",0,female,Hispanic/Latino
285,Tara Williams,"Python, Deep Learning",7,B.Tech,None,Data Scientist,Hire,104891,2,90,"['python', 'deep learning']",1,female,unknown
286,Joanna Little,"Ethical Hacking, Cybersecurity, Networking",2,PhD,Deep Learning Specialization,Cybersecurity Analyst,Hire,117219,5,70,"['ethical hacking', 'cybersecurity', 'networking']",1,female,unknown
287,Emily Sanchez,"C++, React, SQL, Java",2,MBA,None,Software Engineer,Reject,96229,1,45,"['c++', 'react', 'sql', 'java']",0,female,Hispanic/Latino
288,Rebecca Lewis,"Python, SQL, Deep Learning",10,B.Tech,None,Data Scientist,Hire,92689,8,100,"['python', 'sql', 'deep learning']",1,female,unknown
289,Jonathan Andrews,"Python, Deep Learning, SQL, Machine Learning",2,M.Tech,None,Data Scientist,Hire,82012,7,75,"['python', 'deep learning', 'sql', 'machine learning']",1,male,unknown
290,Martin Dean,"Ethical Hacking, Networking",6,MBA,Deep Learning Specialization,Cybersecurity Analyst,Hire,61633,4,100,"['ethical hacking', 'networking']",1,male,unknown
291,Olivia Montgomery,"TensorFlow, Python",2,PhD,Deep Learning Specialization,AI Researcher,Hire,73596,9,85,"['tensorflow', 'python']",1,female,unknown
292,Amanda Watson,"Cybersecurity, Networking, Linux",2,B.Sc,AWS Certified,Cybersecurity Analyst,Reject,104195,3,60,"['cybersecurity', 'networking', 'linux']",0,female,unknown
293,Katelyn Hopkins,"Machine Learning, Python, SQL",6,B.Tech,None,Data Scientist,Hire,50393,5,100,"['machine learning', 'python', 'sql']",1,female,unknown
294,Jeremy Shaw,"Java, C++, React, SQL",4,B.Sc,None,Software Engineer,Hire,98181,8,100,"['java', 'c++', 'react', 'sql']",1,male,unknown
295,Nathan Williams,"Pytorch, Python, NLP, TensorFlow",9,MBA,Deep Learning Specialization,AI Researcher,Hire,117784,3,100,"['pytorch', 'python', 'nlp', 'tensorflow']",1,male,unknown
296,Jacqueline Frederick,"Deep Learning, Python, Machine Learning, SQL",2,B.Sc,None,Data Scientist,Hire,84282,6,70,"['deep learning', 'python', 'machine learning', 'sql']",1,female,unknown
297,Robert Cook,"Networking, Linux, Ethical Hacking, Cybersecurity",2,B.Sc,Deep Learning Specialization,Cybersecurity Analyst,Reject,108144,2,60,"['networking', 'linux', 'ethical hacking', 'cybersecurity']",0,male,unknown
298,Jerome Schmitt,"Networking, Cybersecurity, Linux, Ethical Hacking",8,MBA,Google ML,Cybersecurity Analyst,Hire,104087,4,100,"['networking', 'cybersecurity', 'linux', 'ethical hacking']",1,male,unknown
299,Scott Coleman,"SQL, Deep Learning",6,B.Tech,Google ML,Data Scientist,Hire,80534,6,100,"['sql', 'deep learning']",1,male,unknown
300,Robin Mcgrath,"Python, Pytorch, TensorFlow",1,M.Tech,None,AI Researcher,Hire,88349,10,75,"['python', 'pytorch', 'tensorflow']",1,female,unknown
301,Kristen Maynard,"Linux, Ethical Hacking",10,M.Tech,Google ML,Cybersecurity Analyst,Hire,71601,9,100,"['linux', 'ethical hacking']",1,female,unknown
302,Denise Collins,"React, Java, SQL, C++",5,PhD,Deep Learning Specialization,Software Engineer,Hire,94954,10,100,"['react', 'java', 'sql', 'c++']",1,female,unknown
303,Amber Dalton,"NLP, Python, TensorFlow, Pytorch",2,PhD,Deep Learning Specialization,AI Researcher,Hire,72948,10,100,"['nlp', 'python', 'tensorflow', 'pytorch']",1,female,unknown
304,Carlos Goodwin,"Python, NLP",8,B.Sc,Google ML,AI Researcher,Hire,89808,10,100,"['python', 'nlp']",1,male,Hispanic/Latino
305,Tina Howard,"SQL, Python, Machine Learning",6,B.Sc,AWS Certified,Data Scientist,Hire,52824,9,100,"['sql', 'python', 'machine learning']",1,female,unknown
306,Nathaniel Terry,"React, SQL, C++",1,MBA,None,Software Engineer,Hire,88441,10,75,"['react', 'sql', 'c++']",1,male,unknown
307,Jessica Campbell,"Machine Learning, SQL, Python",4,B.Sc,Google ML,Data Scientist,Hire,114573,8,100,"['machine learning', 'sql', 'python']",1,female,unknown
308,Andrew Shaw,"Python, SQL",1,MBA,Deep Learning Specialization,Data Scientist,Hire,112556,7,65,"['python', 'sql']",1,male,unknown
309,Stephen Lopez,"Deep Learning, SQL",6,B.Tech,AWS Certified,Data Scientist,Hire,106433,0,80,"['deep learning', 'sql']",1,male,Hispanic/Latino
310,Megan Cox,"SQL, Java",3,B.Tech,None,Software Engineer,Hire,63531,8,80,"['sql', 'java']",1,female,unknown
311,Richard Kelly,"Cybersecurity, Ethical Hacking, Networking",0,B.Tech,None,Cybersecurity Analyst,Reject,82635,7,50,"['cybersecurity', 'ethical hacking', 'networking']",0,male,unknown
312,Benjamin Rivera,"SQL, Machine Learning, Python, Deep Learning",6,B.Sc,Google ML,Data Scientist,Hire,99502,8,100,"['sql', 'machine learning', 'python', 'deep learning']",1,male,Hispanic/Latino
313,Laura Stewart,"Deep Learning, SQL, Python, Machine Learning",1,PhD,Deep Learning Specialization,Data Scientist,Reject,52288,1,45,"['deep learning', 'sql', 'python', 'machine learning']",0,female,unknown
314,Ronald Luna,"C++, SQL",5,M.Tech,Google ML,Software Engineer,Hire,106464,5,95,"['c++', 'sql']",1,male,Hispanic/Latino
315,Robert Thompson,"Networking, Ethical Hacking, Linux, Cybersecurity",10,M.Tech,Google ML,Cybersecurity Analyst,Hire,97006,5,100,"['networking', 'ethical hacking', 'linux', 'cybersecurity']",1,male,unknown
316,Joseph Rojas,"Cybersecurity, Ethical Hacking, Linux",1,MBA,AWS Certified,Cybersecurity Analyst,Hire,78344,10,85,"['cybersecurity', 'ethical hacking', 'linux']",1,male,Hispanic/Latino
317,Richard Padilla,"Cybersecurity, Networking, Ethical Hacking, Linux",2,B.Sc,None,Cybersecurity Analyst,Reject,59121,4,60,"['cybersecurity', 'networking', 'ethical hacking', 'linux']",0,male,Hispanic/Latino
318,Heather Savage,"Machine Learning, Python, Deep Learning",2,B.Tech,Deep Learning Specialization,Data Scientist,Hire,55376,7,80,"['machine learning', 'python', 'deep learning']",1,female,unknown
319,Elizabeth Chavez,"TensorFlow, Python, NLP",9,M.Tech,AWS Certified,AI Researcher,Hire,101293,0,100,"['tensorflow', 'python', 'nlp']",1,female,Hispanic/Latino
